"Date","TradeCount","PortfolioOpen","PortfolioClose","PnL"
2015-09-16,27,99934.46,100105.48,171.01999999999
2015-09-17,24,100205.65,100341.04,135.390000000029
2015-09-18,25,99000.18,98426.51,-573.670000000013
2015-09-21,26,98331.07,97764.58,-566.489999999991
2015-09-22,30,98008.7,97961.83,-46.8699999999808
2015-09-23,26,97962.44,97626.68,-335.760000000038
2015-09-24,28,97576.96,97235.3199999999,-341.640000000029
2015-09-25,28,97354.0399999999,97885.55,531.510000000024
2015-09-28,28,97876.63,98821.69,945.059999999998
2015-09-29,28,98725.48,98000.5099999999,-724.970000000045
2015-09-30,25,98009.4099999999,97173.7299999999,-835.679999999993
2015-10-01,28,97137.2699999999,98468.3499999999,1331.08000000003
2015-10-02,27,98469.63,97960.22,-509.410000000003
2015-10-05,29,98248.01,97940.76,-307.25
2015-10-06,25,98010.33,98019.51,9.18000000000757
2015-10-07,27,97782.18,97672.37,-109.809999999954
2015-10-08,27,97563.42,96800.38,-763.040000000023
2015-10-09,27,96796.63,95764.23,-1032.40000000001
2015-10-13,26,95624.11,95669.2199999999,45.1099999999569
2015-10-14,29,95665.9299999999,95522.77,-143.159999999974
